Count	Annotated Travel	Before Count	After Count
1	Kambalu 	0	52
2	Pulisangan	1	51
3	Geo-gui 	2	50
4	Ta-in-fu 	3	49
5	Pi-an-fu	4	48
6	Ca-cian-fu	5	47
7	Quen-gian-fu	6	46
8	Cun-chin	7	45
9	Achalech-Manji	8	44
10	Manji	9	43
11	Brius	10	42
12	Yaci 	11	41
13	Chiaci 	12	40
14	Karazan	13	39
15	Kardandan	14	38
16	Anniz 	15	37
17	India	16	36
18	Tholoman	17	35
19	Sinugul	18	34
20	Sin-din-fu	19	33
21	Gin-gui	20	32
22	Cian-glu	21	31
23	Cian-gli 	22	30
24	Condi-fu	23	29
25	Sin-gui	24	28
26	Lin-gui	25	27
27	Pin-gui 	26	26
28	Cin-gui	27	25
29	Kara-moran	28	24
30	Manji 	29	23
31	Koi-gan-zu	30	22
32	Pau-chym	31	21
33	Chaym	32	20
34	Tin-gui 	33	19
35	Yan-gui	34	18
36	Sa-yan-fu	35	17
37	Yan-gui	36	16
38	Cin-ghin-gui	37	15
39	Cin-ghian-fu	38	14
40	Kin-sai 	39	13
41	Manji	40	12
42	Ughim	41	11
43	Kin-sai 	42	10
44	Tam-pin-gui	43	9
45	Kin-sai	44	8
46	Un-gui	45	7
47	Chen-gui	46	6
48	Can-giu	47	5
49	Fu-gui	48	4
50	Que-lin-fu	49	3
51	Fu-gui	50	2
52	Zai-tun 	51	1
53	Alexandria	52	0
