Entity	Original count	Found count
Achalech-Manji	2	2
Achbaluch	1	0
Alexandria	1	1
Amu	3	3
Anniz	1	0
Babylon	1	1
Bangala	3	6
	30	28
Bastol	1	0
Brius	1	2
Ca-cian-fu	3	3
Cai-gui	1	1
Can-giu	1	1
Caraian	3	6
Cathay	16	16
Cauli	1	0
Caya-fu	1	1
Chaccia	1	0
Chaym	2	2
Chen-gui	1	1
Chiaci	1	0
China	1	1
Christendom	2	0
Cian-cian	1	1
Cian-gli	2	2
Cian-glu	2	2
Cianganor	1	1
Cicorcia	1	0
Cin-ghian-fu	3	3
Cin-ghin-gui	2	0
Cin-gui	2	0
Con-cha	1	0
Condi-fu	2	2
Cun-chin	1	1
Cyn-gui	2	2
Fu-gui	10	10
Gan-fu	2	2
Geo-gui	2	2
Gin-gui	2	2
Hindostan	1	0
India	10	11
Kain-du	2	2
Kambalu	20	20
Kangigu	2	2
Kara-moran	3	0
Karazan	2	2
Kardandan	2	2
Kataia	1	2
Kiang	1	2
Kin-sai	16	16
Kinsai	1	0
Koi-gan-zu	4	4
Lin-gui	2	2
Manji	30	31
Mien	9	9
Nan-ghin	2	2
Pau-chym	3	3
Pi-an-fu	2	2
Pin-gui	2	2
Pulisangan	1	1
Que-lin-fu	1	1
Quen-gian-fu	1	1
Quian-su	1	0
Sa-yan-fu	3	0
Shandu	2	2
Sin-din-fu	2	2
Sin-gui	9	9
Sinugul	1	1
Suchintin	1	0
Ta-in-fu	2	0
Tam-pin-gui	1	1
Tartary	1	0
Thibet	1	2
Tholoman	3	3
Ti-min-gui	1	0
Tin-gui	2	2
Ughim	2	2
Un-gui	3	3
Un-quem	1	1
Venice	2	2
Vociam	4	4
Yaci	2	2
Yan-gui	2	2
Zai-tun	2	2
