Travelled Location,Modern day
Turcomania,
Arzinga,"Erzincan, Turkey"
Mosul,"Mosul,Iraq"
"Armenia ,Georgia","Armenia ,Georgia"
Teflis,
Mosul,"Mosul,Iraq"
Baldach,"Baghdad,Iraq"
India,India
India,India
Chisi,
Bascra,
Baldach,"Baghdad,Iraq"
Yrac,"Tabriz,Iran"
Baldach,"Baghdad,Iraq"
Persia,Iran
Sava,"Saveh,Iran"
Casum,
Chisi,
Curmosa,
Creman,"Kerman,Iran"
Reobarle,
Badasian,
Pasciair,
Chesciemur,
"India ,Dilivar",
"Canosalmi ,Canosalmi",
"Cormos ,Cormos","Hormuz island,Iran"
Creman,"Kerman,Iran"
Cobinam,"Shahdad,Iran"
Tonocain,"South Khorasan,Iran"
Sapurgan,"Sheberghan,Afghanistan"
Balk,"Balkh,Afghanistan"
"Dogana ,Dogana","Bactria,Afghanistan"
Balk,"Balkh,Afghanistan"
Taikan,"Taloqan,Afghanistan"
Scassem,"Keshem,Afghanishtan"
Lighinan,"Badakhshan Province, Afghanistan"
Pascia,"Peshawar,Pakistan"
Vokhan,"Wakhan Corridor,Afghanishtan"
Belor,
Samarcan,"Samarkand,Uzbekistan "
Yarcan,"Yarkant County,China"
Cascar,
"Ciarcian ,Ciarcian","Cherchen,China"
Sacchion,"Dunhuang,China"
Tangut,
Succiur,"Jiuquan,China"
Tangut,
Ezina,
Ezina,
Tenduc,
Altai,Altai Mountains
Bangu,"Barguzin,Russia"
Canpicion,
Erginul,
Egrigaia ,"Ningxia,China"
Tenduc,"Guihua,China "
Sindacui,
Cianganor,"Baicheng,China"
