Entity	Original count	Found count		
Alaodin	2	1		
Alau	3	3		
Alexander	6	6		
Alton	1	1		
Argon	2	1		
Asidiu Sultan	1	1		29
Bacui	1	1		34
Balthazar	1	1		
Ciagatai	4	4		
Cui	1	1		
Darius	3	3		
David Melik	1	1		
David the King	1	0		
Gaspar	1	1		
Gengis	5	5		
Gengis Khan	4	4		
George	2	2		
Guasmul	1	0		
Jatolior	1	1		
Jesus Christ	1	0		
Khan	25	26		
Kublai	3	3		
Maffio	1	1		
Mangou	3	3		
Mangou Khan	1	1		
Marco	2	2		
Marco Polo	2	2		
Melchior	1	1		
Messer Marco	3	2		
Messeri Nicolo	1	1		
Mohammed	25	25		
Nacygai	1	1		
Noah	1	1		
Nogodar	3	3		
Old Man of the Mountain	2	0		
Prester John	7	6		
Unchan	3	3		
Zurficar	1	1		
the Old Man	3	0		
the Old Man of the Mountain	2	0		
